epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.6988,1.90767,5.29858,1.24907,0.00997,0.18785,0.01714,0.0115,1.76684,4.24126,1.05721,3.15767e-05,3.15767e-05,3.15767e-05
2,74.3846,1.74866,4.00928,1.09105,0.53561,0.06772,0.0438,0.03077,1.60856,3.15226,1.01634,6.07389e-05,6.07389e-05,6.07389e-05
3,110.846,1.62772,3.26551,1.05448,0.38377,0.12338,0.07307,0.05183,1.53325,2.69178,0.99453,8.73932e-05,8.73932e-05,8.73932e-05
4,146.92,1.54027,2.90917,1.0344,0.4676,0.13063,0.10055,0.07149,1.43961,2.44453,0.98736,8.3714e-05,8.3714e-05,8.3714e-05
5,182.895,1.50162,2.68654,1.02453,0.39593,0.16223,0.1287,0.09517,1.41272,2.30987,0.98054,7.9952e-05,7.9952e-05,7.9952e-05
6,218.95,1.47505,2.57637,1.01807,0.43853,0.17591,0.15066,0.11049,1.38436,2.17454,0.96595,7.619e-05,7.619e-05,7.619e-05
7,255.084,1.44371,2.431,1.01293,0.45976,0.2085,0.17109,0.1255,1.37039,2.06362,0.96588,7.2428e-05,7.2428e-05,7.2428e-05
8,291.097,1.41946,2.33914,1.00507,0.47358,0.21737,0.1917,0.14006,1.34904,1.99086,0.9563,6.8666e-05,6.8666e-05,6.8666e-05
9,327.285,1.39936,2.23564,0.99939,0.47424,0.23997,0.20776,0.1502,1.3317,1.9242,0.95794,6.4904e-05,6.4904e-05,6.4904e-05
10,363.422,1.38704,2.1675,0.99112,0.51813,0.23752,0.22128,0.16253,1.326,1.85952,0.95915,6.1142e-05,6.1142e-05,6.1142e-05
11,399.606,1.37527,2.10961,0.99292,0.48799,0.2601,0.23258,0.16788,1.31894,1.83774,0.95121,5.738e-05,5.738e-05,5.738e-05
12,435.649,1.36622,2.06291,0.98757,0.53914,0.25763,0.25097,0.18244,1.29487,1.76875,0.95167,5.3618e-05,5.3618e-05,5.3618e-05
13,471.884,1.35135,1.99762,0.98633,0.51007,0.26933,0.25281,0.18191,1.29165,1.74509,0.94824,4.9856e-05,4.9856e-05,4.9856e-05
14,507.992,1.33955,1.96298,0.98327,0.54365,0.27116,0.26702,0.19201,1.28387,1.69696,0.94737,4.6094e-05,4.6094e-05,4.6094e-05
15,544.067,1.31572,1.8986,0.97997,0.52857,0.27148,0.27338,0.19729,1.28095,1.68614,0.94516,4.2332e-05,4.2332e-05,4.2332e-05
16,579.89,1.28101,1.9802,0.95824,0.53836,0.2824,0.27524,0.19816,1.27356,1.64662,0.9423,3.857e-05,3.857e-05,3.857e-05
17,614.78,1.2711,1.89573,0.95531,0.53097,0.28365,0.28888,0.20807,1.2644,1.62671,0.94313,3.4808e-05,3.4808e-05,3.4808e-05
18,649.77,1.26691,1.84515,0.95284,0.52561,0.29764,0.29445,0.2131,1.2617,1.60368,0.94314,3.1046e-05,3.1046e-05,3.1046e-05
19,684.755,1.25931,1.8196,0.95031,0.54285,0.30395,0.29977,0.21426,1.25858,1.595,0.93977,2.7284e-05,2.7284e-05,2.7284e-05
20,719.646,1.25685,1.79488,0.9518,0.54086,0.29859,0.30207,0.21787,1.25118,1.57567,0.93963,2.3522e-05,2.3522e-05,2.3522e-05
21,754.559,1.24155,1.7536,0.94817,0.53466,0.30489,0.30596,0.22136,1.24659,1.55331,0.93835,1.976e-05,1.976e-05,1.976e-05
22,789.502,1.24183,1.74156,0.9451,0.54341,0.29209,0.30595,0.22269,1.24693,1.54606,0.93695,1.5998e-05,1.5998e-05,1.5998e-05
23,824.443,1.23407,1.7218,0.94592,0.53993,0.30083,0.30951,0.22599,1.24299,1.53691,0.93626,1.2236e-05,1.2236e-05,1.2236e-05
24,859.545,1.23363,1.70242,0.9449,0.54093,0.30726,0.31591,0.23062,1.23926,1.52232,0.93622,8.474e-06,8.474e-06,8.474e-06
25,894.471,1.22639,1.6951,0.9413,0.5658,0.29733,0.31534,0.23003,1.23933,1.52163,0.93532,4.712e-06,4.712e-06,4.712e-06
