epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.8809,1.88767,5.23188,1.23035,0.55133,0.03339,0.01932,0.01369,1.72873,4.11998,1.05198,3.16216e-05,3.16216e-05,3.16216e-05
2,99.4924,1.74399,3.92686,1.08748,0.52196,0.06643,0.04477,0.03192,1.577,3.08547,1.00571,6.07821e-05,6.07821e-05,6.07821e-05
3,147.121,1.60699,3.24607,1.05091,0.42029,0.12669,0.07377,0.05249,1.49103,2.64815,0.99158,8.74345e-05,8.74345e-05,8.74345e-05
4,194.343,1.53896,2.9573,1.0352,0.47748,0.13319,0.09629,0.06821,1.44019,2.45678,0.97856,8.3714e-05,8.3714e-05,8.3714e-05
5,241.56,1.48946,2.77198,1.02606,0.37637,0.15331,0.11317,0.08215,1.40427,2.31118,0.97314,7.9952e-05,7.9952e-05,7.9952e-05
6,288.754,1.46759,2.6457,1.01672,0.48195,0.16922,0.13797,0.10047,1.37483,2.20248,0.96578,7.619e-05,7.619e-05,7.619e-05
7,336.005,1.44242,2.503,1.01694,0.46107,0.19529,0.16243,0.11819,1.35474,2.10085,0.96434,7.2428e-05,7.2428e-05,7.2428e-05
8,383.11,1.41034,2.41559,1.00714,0.43021,0.20581,0.17626,0.12704,1.34566,2.05422,0.95436,6.8666e-05,6.8666e-05,6.8666e-05
9,430.244,1.40753,2.32251,1.002,0.42629,0.23616,0.193,0.13945,1.33662,1.97007,0.95736,6.4904e-05,6.4904e-05,6.4904e-05
10,477.336,1.38548,2.26805,0.99614,0.45291,0.23881,0.21221,0.15461,1.3215,1.903,0.95663,6.1142e-05,6.1142e-05,6.1142e-05
11,524.549,1.37484,2.19117,0.99562,0.45204,0.24966,0.21405,0.15459,1.30114,1.89717,0.95339,5.738e-05,5.738e-05,5.738e-05
12,571.848,1.37353,2.14108,0.9934,0.49304,0.2449,0.2264,0.16361,1.28878,1.84547,0.952,5.3618e-05,5.3618e-05,5.3618e-05
13,619.045,1.36045,2.08697,0.99065,0.4657,0.26589,0.23526,0.16886,1.28712,1.8193,0.94841,4.9856e-05,4.9856e-05,4.9856e-05
14,666.158,1.3543,2.05777,0.98961,0.48253,0.26801,0.24853,0.17865,1.2855,1.77207,0.94731,4.6094e-05,4.6094e-05,4.6094e-05
15,713.385,1.33512,2.00099,0.98631,0.50003,0.27,0.25305,0.18086,1.2813,1.73417,0.94744,4.2332e-05,4.2332e-05,4.2332e-05
16,760.452,1.29055,2.06927,0.96121,0.50374,0.26265,0.25724,0.18367,1.26719,1.71864,0.94001,3.857e-05,3.857e-05,3.857e-05
17,806.84,1.27338,1.97533,0.95614,0.49995,0.2826,0.26275,0.18947,1.26502,1.68418,0.94311,3.4808e-05,3.4808e-05,3.4808e-05
18,853.066,1.27654,1.94546,0.9568,0.50205,0.28666,0.26771,0.19278,1.24997,1.67138,0.9393,3.1046e-05,3.1046e-05,3.1046e-05
19,899.301,1.26956,1.92261,0.95499,0.49914,0.2882,0.27368,0.19708,1.25278,1.64793,0.94031,2.7284e-05,2.7284e-05,2.7284e-05
20,945.345,1.26029,1.88075,0.95618,0.49358,0.3042,0.28069,0.20238,1.2464,1.6324,0.93983,2.3522e-05,2.3522e-05,2.3522e-05
21,991.671,1.25712,1.85542,0.95143,0.4783,0.29782,0.28131,0.20361,1.24493,1.62974,0.94156,1.976e-05,1.976e-05,1.976e-05
22,1037.85,1.25611,1.83145,0.9521,0.49976,0.29619,0.285,0.20578,1.24631,1.62145,0.93881,1.5998e-05,1.5998e-05,1.5998e-05
23,1084.13,1.25008,1.82325,0.94837,0.48112,0.30721,0.28582,0.20502,1.23681,1.6174,0.93739,1.2236e-05,1.2236e-05,1.2236e-05
24,1130.12,1.23879,1.79968,0.94521,0.52468,0.29629,0.28903,0.20885,1.23662,1.59683,0.93794,8.474e-06,8.474e-06,8.474e-06
25,1176.35,1.24171,1.78872,0.94887,0.50112,0.30826,0.2896,0.20994,1.23574,1.59459,0.9368,4.712e-06,4.712e-06,4.712e-06
