epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.3681,1.93544,5.39043,1.27393,0.00961,0.17744,0.01585,0.01089,1.76091,4.42308,1.064,3.14867e-05,3.14867e-05,3.14867e-05
2,72.7499,1.75463,4.11441,1.08991,0.57384,0.05931,0.03768,0.02611,1.64267,3.25734,1.0291,6.06525e-05,6.06525e-05,6.06525e-05
3,108.878,1.65894,3.35155,1.06439,0.44135,0.09538,0.06959,0.04895,1.53814,2.75586,1.00783,8.73103e-05,8.73103e-05,8.73103e-05
4,145.454,1.55795,2.90085,1.03957,0.45105,0.13542,0.09141,0.06522,1.45838,2.44705,0.98866,8.3714e-05,8.3714e-05,8.3714e-05
5,181.181,1.50187,2.65717,1.02154,0.39102,0.16462,0.11907,0.08384,1.42903,2.27815,0.98528,7.9952e-05,7.9952e-05,7.9952e-05
6,217.267,1.46532,2.52083,1.01567,0.41676,0.18418,0.14493,0.10368,1.38225,2.14719,0.96768,7.619e-05,7.619e-05,7.619e-05
7,252.984,1.43379,2.3678,1.00644,0.42217,0.22737,0.17753,0.12852,1.35321,2.04982,0.9683,7.2428e-05,7.2428e-05,7.2428e-05
8,288.712,1.39789,2.24588,0.99655,0.4362,0.21987,0.19288,0.1401,1.34174,1.9585,0.9594,6.8666e-05,6.8666e-05,6.8666e-05
9,324.445,1.38488,2.16488,0.99588,0.42263,0.24193,0.20833,0.14998,1.3334,1.90991,0.9586,6.4904e-05,6.4904e-05,6.4904e-05
10,360.201,1.36501,2.08584,0.98875,0.47199,0.25582,0.22794,0.16415,1.30749,1.82109,0.95755,6.1142e-05,6.1142e-05,6.1142e-05
11,395.74,1.34864,2.03531,0.98735,0.53502,0.24889,0.24447,0.17629,1.29913,1.77898,0.95114,5.738e-05,5.738e-05,5.738e-05
12,431.463,1.33902,1.9705,0.98342,0.51672,0.25902,0.2489,0.17973,1.28604,1.74186,0.95183,5.3618e-05,5.3618e-05,5.3618e-05
13,466.984,1.33475,1.92937,0.98114,0.52382,0.27643,0.2637,0.18951,1.28321,1.69778,0.9473,4.9856e-05,4.9856e-05,4.9856e-05
14,502.932,1.33115,1.9079,0.98052,0.56497,0.25899,0.27429,0.19916,1.26008,1.65211,0.94481,4.6094e-05,4.6094e-05,4.6094e-05
15,538.484,1.30868,1.84227,0.97688,0.55537,0.26919,0.27968,0.20088,1.26007,1.6211,0.9453,4.2332e-05,4.2332e-05,4.2332e-05
16,574.864,1.28244,1.92062,0.96129,0.5555,0.27879,0.2794,0.19929,1.2617,1.61644,0.94394,3.857e-05,3.857e-05,3.857e-05
17,609.483,1.26234,1.82307,0.95214,0.55314,0.29286,0.2989,0.21429,1.25328,1.57165,0.94115,3.4808e-05,3.4808e-05,3.4808e-05
18,645.777,1.26061,1.78872,0.95288,0.53628,0.29333,0.29786,0.2147,1.24607,1.56662,0.94323,3.1046e-05,3.1046e-05,3.1046e-05
19,680.017,1.25042,1.74745,0.95042,0.54927,0.2935,0.3125,0.22557,1.24786,1.5447,0.93966,2.7284e-05,2.7284e-05,2.7284e-05
20,714.238,1.2466,1.72764,0.94861,0.52243,0.30799,0.3207,0.23318,1.24067,1.52589,0.93918,2.3522e-05,2.3522e-05,2.3522e-05
21,748.745,1.23361,1.69002,0.9444,0.55297,0.30012,0.3125,0.22784,1.23673,1.52833,0.93974,1.976e-05,1.976e-05,1.976e-05
22,783.131,1.23066,1.68435,0.94114,0.54918,0.30797,0.32437,0.23582,1.23754,1.49922,0.94115,1.5998e-05,1.5998e-05,1.5998e-05
23,817.719,1.23327,1.66565,0.94449,0.55458,0.3177,0.32596,0.2379,1.23183,1.48476,0.93783,1.2236e-05,1.2236e-05,1.2236e-05
24,853.235,1.22653,1.65541,0.94475,0.54931,0.3103,0.3251,0.23616,1.23088,1.48535,0.93711,8.474e-06,8.474e-06,8.474e-06
25,887.591,1.22046,1.64475,0.94214,0.54026,0.31828,0.32534,0.23665,1.22968,1.48222,0.9371,4.712e-06,4.712e-06,4.712e-06
